"ID","ColumnDisplayName","ColumnInternalName","Required","ColumnTye","Description","Format","MaxLength","EnforceUniqueValues","Indexed","ValidationFormula","DefaultValue","DefaultFormula","CustomFormatter"
"8553196d-ec8d-4564-9861-3dbe931050c8","Name","FileLeafRef","True","File","",,,"False","False",,,,
"76d13cd2-1bae-45a5-8b74-545b87b65037","Color Tag","_ColorTag","False","Text","",,"255","False","False",,,,
"3a6b296c-3f50-445c-a13f-9c679ea9dda3","Compliance Asset Id","ComplianceAssetId","False","Text","",,"255","False","False",,,,
"c33527b4-d920-4587-b791-45024d00068a","Wiki Content","WikiField","False","Note","",,,"False","False",,,,
"fa564e0f-0c70-4ab9-b863-0177e6ddd247","Title","Title","False","Text","",,"255","False","False",,,,
"4966388e-6e12-4bc6-8990-5b5b66153eae","Authoring Canvas Content","CanvasContent1","False","HTML","This column stores the content of the authoring canvas in a site page.",,,"False","False",,,,
"5baf6db5-9d25-4738-b15e-db5789298e82","Banner Image URL","BannerImageUrl","False","URL","",,,"False","False",,,,
"3f155110-a6a2-4d70-926c-94648101f0e8","Description","Description","False","Note","",,,"False","False",,,,
"f5ad16a2-85be-46b2-b5f0-2bb8b4a5074a","Promoted State","PromotedState","False","Number","",,,"False","False",,"0",,
"c84f8697-331e-457d-884a-c4fb8f30ea74","First Published Date","FirstPublishedDate","False","DateTime","",,,"False","False",,,,
"261075db-0525-4fb8-a6ea-772014186599","Page Layout Content","LayoutWebpartsContent","False","HTML","This column stores the content of webparts in page layout in a site page.",,,"False","False",,,,
"1a7348e7-1bb7-4a47-9790-088e7cb20b58","Author Byline","_AuthorByline","False","UserMulti","",,,"False","False",,,,
"d60d65ff-ff42-4044-a684-ac3f7a5e598c","Topic header","_TopicHeader","False","Text","",,"255","False","False",,,,
"9de685c5-fdf5-4319-b987-3edf55efb36f","Site Page Flags","_SPSitePageFlags","False","MultiChoice","",,,"False","False",,,,
"9889a80f-c9ec-41d8-a359-ac5fb5c4cfa2","Call To Action","_SPCallToAction","False","Note","",,,"False","False",,,,
"82642ec8-ef9b-478f-acf9-31f7d45fbc31","Title","LinkTitle","False","Computed","",,,"False","False",,,,
"0e7b982f-698a-4d0c-aacb-f16906f66d30","Original Source Url","_OriginalSourceUrl","False","Text","",,"255","False","False",,,,
"36193413-dd5c-4096-8c1e-1b40098b9ba3","Original Source Site ID","_OriginalSourceSiteId","False","Guid","",,,"False","False",,,,
"3477a5bc-c605-4b2e-a7c1-8db8f13c017e","Original Source Web ID","_OriginalSourceWebId","False","Guid","",,,"False","False",,,,
"139da674-dbf6-439f-98e0-4eb05fa9a669","Original Source List ID","_OriginalSourceListId","False","Guid","",,,"False","False",,,,
"91e86a43-75f2-426f-80da-35edfb47d55d","Original Source Item ID","_OriginalSourceItemId","False","Guid","",,,"False","False",,,,
"d84a863a-bad2-40c0-bdc5-2030ef3d998f","Translation languages","_SPTranslatedLanguages","False","MultiChoice","Languages that this item has been or is being translated into",,,"False","False",,,,
"b6ee4892-f45b-44b4-9b52-d31be51e8f5f","Item Language","_SPTranslationLanguage","False","Choice","Language of this item",,,"False","False",,,,
"fed55352-c65f-410c-9b96-021a35f2591f","Translation Source ID","_SPTranslationSourceItemId","False","Guid","Unique ID of the item this translation is based on",,,"False","False",,,,
"4cfeca70-6332-4beb-93c5-05c950fe3888","Translation","_SPIsTranslation","False","Boolean","This item is a translation",,,"False","False",,"FALSE",,
"1d22ea11-1e32-424e-89ab-9fedbadb6ce1","ID","ID","False","Counter","",,,"False","False",,,,
"c042a256-787d-4a6f-8a8a-cf6ab767f12d","Content Type","ContentType","False","Computed","",,,"False","False",,,,
"8c06beca-0777-48f7-91c7-6da68bc07b69","Created","Created","False","DateTime","",,,"False","False",,,,
"1df5e554-ec7e-46a6-901d-d85a3881cb18","Created By","Author","False","User","",,,"False","False",,,,
"28cf69c5-fa48-462a-b5cd-27b6f9d2bd5f","Modified","Modified","False","DateTime","",,,"False","False",,,,
"d31655d1-1d5b-4511-95a1-7a09e9b75bf2","Modified By","Editor","False","User","",,,"False","False",,,,
"6b4e226d-3d88-4a36-808d-a129bf52bccf","Copy Source","_CopySource","False","Text","",,"255","False","False",,,,
"3881510a-4e4a-4ee8-b102-8ee8e2d0dd4b","Checked Out To","CheckoutUser","False","User","",,,"False","False",,,,
"58014f77-5463-437b-ab67-eec79532da67","Check In Comment","_CheckinComment","False","Lookup","",,,"False","False",,,,
"9d30f126-ba48-446b-b8f9-83745f322ebe","Name","LinkFilenameNoMenu","False","Computed","",,,"False","False",,,,
"5cc6dc79-3710-4374-b433-61cb4a686c12","Name","LinkFilename","False","Computed","",,,"False","False",,,,
"081c6e4c-5c14-4f20-b23e-1a71ceb6a67c","Type","DocIcon","False","Computed","",,,"False","False",,,,
"78a07ba4-bda8-4357-9e0f-580d64487583","File Size","FileSizeDisplay","False","Computed","",,,"False","False",,,,
"b824e17e-a1b3-426e-aecf-f0184d900485","Item Child Count","ItemChildCount","False","Lookup","",,,"False","False",,,,
"960ff01f-2b6d-4f1b-9c3f-e19ad8927341","Folder Child Count","FolderChildCount","False","Lookup","",,,"False","False",,,,
"ccc1037f-f65e-434a-868e-8c98af31fe29","Label setting","_ComplianceFlags","False","Lookup","",,,"False","False",,,,
"d4b6480a-4bed-4094-9a52-30181ea38f1d","Retention label","_ComplianceTag","False","Lookup","",,,"False","False",,,,
"92be610e-ddbb-49f4-b3b1-5c2bc768df8f","Retention label Applied","_ComplianceTagWrittenTime","False","Lookup","",,,"False","False",,,,
"418d7676-2d6f-42cf-a16a-e43d2971252a","Label applied by","_ComplianceTagUserId","False","Lookup","",,,"False","False",,,,
"8382d247-72a9-44b1-9794-7b177edc89f3","Item is a Record","_IsRecord","False","Computed","",,,"False","False",,,,
"d307dff3-340f-44a2-9f4b-fbfe1ba07459","Comment count","_CommentCount","False","Lookup","",,,"False","False",,,,
"db8d9d6d-dc9a-4fbd-85f3-4a753bfdc58c","Like count","_LikeCount","False","Lookup","",,,"False","False",,,,
"1a53ab5a-11f9-4b92-a377-8cfaaf6ba7be","Sensitivity","_DisplayName","False","Lookup","",,,"False","False",,,,
"6bfaba20-36bf-44b5-a1b2-eb6346d49716","App Created By","AppAuthor","False","Lookup","",,,"False","False",,,,
"e08400f3-c779-4ed2-a18c-ab7f34caa318","App Modified By","AppEditor","False","Lookup","",,,"False","False",,,,
"503f1caa-358e-4918-9094-4a2cdc4bc034","Edit","Edit","False","Computed","",,,"False","False",,,,
"dce8262a-3ae9-45aa-aab4-83bd75fb738a","Version","_UIVersionString","False","Text","",,"255","False","False",,,,
"bc1a8efb-0f4c-49f8-a38f-7fe22af3d3e0","Source Version (Converted Document)","ParentVersionString","False","Lookup","",,,"False","False",,,,
"774eab3a-855f-4a34-99da-69dc21043bec","Source Name (Converted Document)","ParentLeafName","False","Lookup","",,,"False","False",,,,
