"ID","ColumnDisplayName","ColumnInternalName","Required","ColumnTye","Description","Format","MaxLength","EnforceUniqueValues","Indexed","ValidationFormula","DefaultValue","DefaultFormula","CustomFormatter"
"fa564e0f-0c70-4ab9-b863-0177e6ddd247","TeamName","Title","True","Text","",,"255","False","False",,,,
"4ba746cf-9f3b-4194-8778-5f0994bee11d","Description","Description","False","Text","",,"255","False","False",,,,
"d084b490-39b7-4c35-97eb-9a337ed4df45","Team Members","FindTeamMembers","False","Calculated","Link to least of members of this Team in the Team Members list.",,,"False","False",,,,"{""$schema"":""https://developer.microsoft.com/json-schemas/sp/v2/column-formatting.schema.json"",""children"":[{""elmType"":""span"",""style"":{""padding-right"":""10px""},""txtContent"":"" ""},{""attributes"":{""class"":""sp-field-quickActions"",""href"":""='' + @currentField"",""iconName"":""=if(@currentField == '', 'RemoveLinkX', 'ContactList')"",""target"":""_top"",""title"":""Find team members.""},""elmType"":""a"",""style"":{""text-decoration"":""none""},""txtContent"":""=if(@currentField == '', ' ', ' Team Members')""}],""elmType"":""div""}"
"492ea444-cb0c-4080-899c-ca6c9fbafb66","Shared Drive","Team_x0020_Drive","False","URL","Link to this team's shared drive (e.g. Google Drive, OneDrive, Dropbox, SharePoint Library).",,,"False","False",,,,"{""$schema"":""https://developer.microsoft.com/json-schemas/sp/v2/column-formatting.schema.json"",""children"":[{""elmType"":""span"",""style"":{""padding-right"":""10px""},""txtContent"":"" ""},{""attributes"":{""class"":""sp-field-quickActions"",""href"":""='' + @currentField"",""iconName"":""=if(@currentField == '', 'RemoveLinkX', 'CloudImportExport')"",""target"":""_blank"",""title"":""=if(@currentField == '', 'No drive link available.', @currentField)""},""elmType"":""a"",""style"":{""text-decoration"":""none""},""txtContent"":""=if(@currentField == '', ' ', ' Shared Drive')""}],""elmType"":""div""}"
"27dbfa26-7eec-438c-b5a7-11097ec815b7","Web Page","Team_x0020_WebPage","False","URL","Link to the team's web page.",,,"False","False",,,,
"d0fd6498-e5d6-45b3-bede-82eceadb9b8f","Slack","Slack","False","URL","",,,"False","False",,,,
"cec0057f-32c6-46c2-945c-085598e78043","Teams Account","Teams","False","User","",,,"False","False",,,,
"9fa58ccb-c983-4151-977f-8dc771e0baaf","GitHub","GitHub","False","URL","",,,"False","False",,,,
"10c61d7d-6b0b-499f-9256-c2b90290a20d","Team Calendar","Team_x0020_Calendar","False","URL","",,,"False","False",,,,
"f0b5bae3-1772-4ae4-b5db-42da1b34782a","MCommunity Group","MCommunity_x0020_Group","False","Text","",,"255","False","False",,,,"{""$schema"":""https://developer.microsoft.com/json-schemas/sp/v2/column-formatting.schema.json"",""children"":[{""elmType"":""span"",""style"":{""padding-right"":""10px""},""txtContent"":""=if(@currentField == '', ' ', @currentField)""},{""attributes"":{""class"":""sp-field-quickActions"",""href"":""='https://mcommunity.umich.edu/group/' + replace(@currentField,'@umich.edu','')"",""iconName"":""=if(@currentField == '', 'RemoveLinkX', 'Group')"",""target"":""_blank"",""title"":""=if(@currentField == '', 'MCommunity group is not set.', 'Open in MCommunity.')""},""elmType"":""a"",""style"":{""text-decoration"":""none""},""txtContent"":"" ""}],""elmType"":""div""}"
"19b79048-bf31-4b20-a3be-1d5bad3d1918","Team Leader","Team_x0020_Leader","False","Lookup","",,,"False","False",,,,
"0f259119-6b14-412f-8422-bec313fab325","Active","Active","False","Boolean","",,,"False","False",,"1",,
"82642ec8-ef9b-478f-acf9-31f7d45fbc31","TeamName","LinkTitle","False","Computed","",,,"False","False",,,,
"76d13cd2-1bae-45a5-8b74-545b87b65037","Color Tag","_ColorTag","False","Text","",,"255","False","False",,,,
"3a6b296c-3f50-445c-a13f-9c679ea9dda3","Compliance Asset Id","ComplianceAssetId","False","Text","",,"255","False","False",,,,
"bc91a437-52e7-49e1-8c4e-4698904b2b6d","TeamName","LinkTitleNoMenu","False","Computed","",,,"False","False",,,,
"1d22ea11-1e32-424e-89ab-9fedbadb6ce1","ID","ID","False","Counter","",,,"False","False",,,,
"c042a256-787d-4a6f-8a8a-cf6ab767f12d","Content Type","ContentType","False","Computed","",,,"False","False",,,,
"28cf69c5-fa48-462a-b5cd-27b6f9d2bd5f","Modified","Modified","False","DateTime","",,,"False","False",,,,
"8c06beca-0777-48f7-91c7-6da68bc07b69","Created","Created","False","DateTime","",,,"False","False",,,,
"1df5e554-ec7e-46a6-901d-d85a3881cb18","Created By","Author","False","User","",,,"False","False",,,,
"d31655d1-1d5b-4511-95a1-7a09e9b75bf2","Modified By","Editor","False","User","",,,"False","False",,,,
"dce8262a-3ae9-45aa-aab4-83bd75fb738a","Version","_UIVersionString","False","Text","",,"255","False","False",,,,
"67df98f4-9dec-48ff-a553-29bece9c5bf4","Attachments","Attachments","False","Attachments","",,,"False","False",,,,
"503f1caa-358e-4918-9094-4a2cdc4bc034","Edit","Edit","False","Computed","",,,"False","False",,,,
"081c6e4c-5c14-4f20-b23e-1a71ceb6a67c","Type","DocIcon","False","Computed","",,,"False","False",,,,
"b824e17e-a1b3-426e-aecf-f0184d900485","Item Child Count","ItemChildCount","False","Lookup","",,,"False","False",,,,
"960ff01f-2b6d-4f1b-9c3f-e19ad8927341","Folder Child Count","FolderChildCount","False","Lookup","",,,"False","False",,,,
"ccc1037f-f65e-434a-868e-8c98af31fe29","Label setting","_ComplianceFlags","False","Lookup","",,,"False","False",,,,
"d4b6480a-4bed-4094-9a52-30181ea38f1d","Retention label","_ComplianceTag","False","Lookup","",,,"False","False",,,,
"92be610e-ddbb-49f4-b3b1-5c2bc768df8f","Retention label Applied","_ComplianceTagWrittenTime","False","Lookup","",,,"False","False",,,,
"418d7676-2d6f-42cf-a16a-e43d2971252a","Label applied by","_ComplianceTagUserId","False","Lookup","",,,"False","False",,,,
"8382d247-72a9-44b1-9794-7b177edc89f3","Item is a Record","_IsRecord","False","Computed","",,,"False","False",,,,
"6bfaba20-36bf-44b5-a1b2-eb6346d49716","App Created By","AppAuthor","False","Lookup","",,,"False","False",,,,
"e08400f3-c779-4ed2-a18c-ab7f34caa318","App Modified By","AppEditor","False","Lookup","",,,"False","False",,,,
