"ID","ColumnDisplayName","ColumnInternalName","Required","ColumnTye","Description","Format","MaxLength","EnforceUniqueValues","Indexed","ValidationFormula","DefaultValue","DefaultFormula","CustomFormatter"
"fa564e0f-0c70-4ab9-b863-0177e6ddd247","Title","Title","True","Text","",,"255","False","False",,,,
"1df5e554-ec7e-46a6-901d-d85a3881cb18","Author","Author","False","User","Writer of the content",,,"False","False",,,,
"67df98f4-9dec-48ff-a553-29bece9c5bf4","Content files","Attachments","False","Attachments","Additional files, such as the text and additional images if more than one is used.",,,"False","False",,,,
"82642ec8-ef9b-478f-acf9-31f7d45fbc31","Content title","LinkTitle","False","Computed","",,,"False","False",,,,
"76d13cd2-1bae-45a5-8b74-545b87b65037","Color Tag","_ColorTag","False","Text","",,"255","False","False",,,,
"3a6b296c-3f50-445c-a13f-9c679ea9dda3","Compliance Asset Id","ComplianceAssetId","False","Text","",,"255","False","False",,,,
"711ea720-8ade-4d07-a786-997b29ad9966","Description","Description","False","Note","Describe the content in a few words",,,"False","False",,,,
"63c36c7a-3c58-4f21-a308-db4e2e929647","Status","Status","False","Choice","Status of the content",,,"False","False",,,,"{
    ""elmType"": ""div"",
        ""style"": {
        ""flex-wrap"": ""wrap"",
            ""display"": ""flex""
    },
    ""children"": [{
        ""elmType"": ""div"",
        ""style"": {
            ""box-sizing"": ""border-box"",
            ""padding"": ""4px 8px 5px 8px"",
            ""display"": ""flex"",
            ""border-radius"": ""16px"",
            ""height"": ""24px"",
            ""align-items"": ""center"",
            ""white-space"": ""nowrap"",
            ""overflow"": ""hidden"",
            ""margin"": ""1px 4px 4px 0px""
        },
        ""attributes"": {
            ""class"": {
                ""operator"": "":"",
                ""operands"": [{
                    ""operator"": ""=="",
                    ""operands"": [""[$Status]"", ""Planned""]
                }, ""sp-css-backgroundColor-neutralBackground10"", {
                    ""operator"": "":"",
                    ""operands"": [{
                        ""operator"": ""=="",
                        ""operands"": [""[$Status]"", ""Assigned""]
                    }, ""sp-css-backgroundColor-blueBackground37 sp-css-color-themeDarker"", {
                        ""operator"": "":"",
                        ""operands"": [{
                            ""operator"": ""=="",
                            ""operands"": [""[$Status]"", ""Draft needs approval""]
                        }, ""sp-css-backgroundColor-warningBackground sp-css-color-neutralPrimaryAlt"", {
                            ""operator"": "":"",
                            ""operands"": [{
                                ""operator"": ""=="",
                                ""operands"": [""[$Status]"", ""Ready to publish""]
                            }, ""sp-css-backgroundColor-errorBackground sp-css-color-themeDarker"", {
                                ""operator"": "":"",
                                ""operands"": [{
                                    ""operator"": ""=="",
                                    ""operands"": [""[$Status]"", ""Published""]
                                }, ""sp-css-backgroundColor-successBackground50 sp-css-color-green"", """"]
                            }]
                        }]
                    }]
                }]
            }
        },
        ""children"": [{
            ""elmType"": ""span"",
            ""style"": {
                ""line-height"": ""16px"",
                ""height"": ""14px""
            },
            ""attributes"": {
                ""iconName"": {
                    ""operator"": "":"",
                    ""operands"": [{
                        ""operator"": ""=="",
                        ""operands"": [""[$Status]"", ""Planned""]
                    }, """", {
                        ""operator"": "":"",
                        ""operands"": [{
                            ""operator"": ""=="",
                            ""operands"": [""[$Status]"", ""Assigned""]
                        }, """", {
                            ""operator"": "":"",
                            ""operands"": [{
                                ""operator"": ""=="",
                                ""operands"": [""[$Status]"", ""Draft needs approval""]
                            }, """", {
                                ""operator"": "":"",
                                ""operands"": [{
                                    ""operator"": ""=="",
                                    ""operands"": [""[$Status]"", ""Ready to publish""]
                                }, """", {
                                    ""operator"": "":"",
                                    ""operands"": [{
                                        ""operator"": ""=="",
                                        ""operands"": [""[$Status]"", ""Published""]
                                    }, """", """"]
                                }]
                            }]
                        }]
                    }]
                }
            }
        }, {
            ""elmType"": ""span"",
            ""style"": {
                ""overflow"": ""hidden"",
                ""text-overflow"": ""ellipsis"",
                ""padding"": ""0 3px""
            },
            ""txtContent"": ""[$Status]"",
            ""attributes"": {
                ""class"": {
                    ""operator"": "":"",
                    ""operands"": [{
                        ""operator"": ""=="",
                        ""operands"": [""[$Status]"", ""Planned""]
                    }, """", {
                        ""operator"": "":"",
                        ""operands"": [{
                            ""operator"": ""=="",
                            ""operands"": [""[$Status]"", ""Assigned""]
                        }, """", {
                            ""operator"": "":"",
                            ""operands"": [{
                                ""operator"": ""=="",
                                ""operands"": [""[$Status]"", ""Draft needs approval""]
                            }, """", {
                                ""operator"": "":"",
                                ""operands"": [{
                                    ""operator"": ""=="",
                                    ""operands"": [""[$Status]"", ""Ready to publish""]
                                }, """", {
                                    ""operator"": "":"",
                                    ""operands"": [{
                                        ""operator"": ""=="",
                                        ""operands"": [""[$Status]"", ""Published""]
                                    }, """", """"]
                                }]
                            }]
                        }]
                    }]
                }
            }
        }]
    }],
        ""templateId"": ""BgColorChoicePill""
} "
"d5dacb98-5942-4706-86ec-b67742da63da","Draft due by","DraftDueBy","False","DateTime","Date when the draft is due",,,"False","False",,,,
"a29327e2-6106-46ee-a644-8c7703c3a90f","Publish by","PublishBy","False","DateTime","Date when content should be published",,,"False","False",,,,
